subject,H.period,UD.period.t,H.t,UD.t.i,H.i,UD.i.e,H.e,UD.e.five,H.five,UD.five.Shift.r,H.Shift.r,UD.Shift.r.o,H.o,UD.o.a,H.a,UD.a.n,H.n,UD.n.l,H.l,UD.l.Return,H.Return
2,0.1491,0.2488,0.1069,0.0605,0.1169,0.1043,0.1417,1.0468,0.1146,1.4909,0.1067,0.6523,0.1016,0.1120,0.1349,0.0135,0.0932,0.2583,0.1338,0.2171,0.0742
2,0.1111,0.2340,0.0694,0.0589,0.0908,0.0449,0.0829,1.1141,0.0689,0.7133,0.1570,0.6307,0.1066,0.0618,0.1412,0.1146,0.1146,0.1496,0.0839,0.1917,0.0747
2,0.1328,0.0744,0.0731,0.0560,0.0821,0.0721,0.0808,0.9600,0.0892,0.5311,0.1454,0.5741,0.1365,0.1566,0.1621,0.0711,0.1172,0.1533,0.1085,0.1762,0.0945
2,0.1291,0.1224,0.1059,0.1436,0.1040,0.0998,0.0900,0.9656,0.0913,1.1651,0.1454,0.6096,0.0956,0.0574,0.1457,0.0172,0.0866,0.1475,0.0845,0.2387,0.0813
2,0.1249,0.1068,0.0895,0.0781,0.0903,0.0686,0.0805,0.7824,0.0742,0.8213,0.1243,0.6389,0.0430,0.1545,0.1312,0.0270,0.0884,0.1633,0.0903,0.1614,0.0818
2,0.1064,0.1005,0.0866,0.0502,0.0800,0.0607,0.0789,0.7178,0.0855,1.1150,0.0948,0.2135,0.1233,0.0167,0.1318,-0.0114,0.0782,0.1217,0.0879,0.2028,0.0890
2,0.0929,0.0881,0.0818,0.0560,0.0747,0.0620,0.0776,0.5671,0.1373,1.0503,0.1059,0.2080,0.0903,0.0249,0.1322,-0.0282,0.0821,0.1306,0.1006,0.1770,0.0679
2,0.0966,0.0831,0.0771,0.0525,0.0839,0.0586,0.0755,0.6602,0.0800,0.8606,0.1027,0.1230,0.1114,0.0146,0.1262,0.0141,0.0787,0.1351,0.0882,0.1986,0.0634
2,0.1093,0.0714,0.0731,0.0726,0.0766,0.0475,0.0813,0.6737,0.0826,0.7239,0.1156,0.1961,0.1119,0.0666,0.1463,-0.0301,0.1207,0.1074,0.1204,0.1983,0.0866
2,0.0887,0.0773,0.0876,0.0684,0.0839,0.0547,0.0692,0.6235,0.0824,0.7311,0.1278,0.1879,0.0948,0.0798,0.1682,-0.1180,0.0866,0.3196,0.0927,0.1970,0.0792
2,0.0911,0.0614,0.0824,0.0692,0.0731,0.0660,0.0832,0.8323,0.0713,0.6772,0.1193,0.3233,0.1103,0.0962,0.1465,0.0027,0.0758,0.1443,0.0742,0.1857,0.0779
2,0.1114,0.0506,0.0900,0.0647,0.0797,0.0552,0.0708,0.6320,0.1051,0.9944,0.1157,0.2317,0.1164,0.0803,0.1404,0.0177,0.0942,0.2159,0.1093,0.1915,0.0489
2,0.0903,0.0968,0.0805,0.1114,0.0842,0.0758,0.0615,0.8550,0.0887,0.6753,0.1399,0.2555,0.0961,0.3376,0.1283,0.0602,0.0734,0.2093,0.1188,0.2701,0.0318
2,0.1169,0.1393,0.0739,0.0810,0.0892,0.0570,0.0966,1.2535,0.0826,0.9843,0.1291,0.5255,0.1317,0.0795,0.1434,-0.0351,0.0869,0.1203,0.1027,1.0280,0.1301
2,0.1270,0.0569,0.0911,0.0470,0.0895,0.0879,0.0739,0.5330,0.0781,0.7266,0.1305,0.0715,0.1204,0.0542,0.1338,0.0183,0.0774,0.1180,0.0942,0.1701,0.0631
2,0.1016,0.0783,0.0792,0.0642,0.0760,0.0652,0.0837,0.7544,0.1159,0.7366,0.1154,0.2547,0.1000,0.0531,0.1640,-0.0454,0.0914,0.1040,0.1053,0.1332,0.0771
2,0.1056,0.0699,0.0781,0.0610,0.0898,0.0715,0.0826,0.6874,0.0718,0.6229,0.1310,0.3550,0.0692,0.0917,0.1262,-0.0565,0.0772,0.1172,0.1169,0.1807,0.0810
2,0.1177,0.1060,0.0837,0.1043,0.0919,0.0884,0.0818,0.6966,0.0932,0.4703,0.1014,0.1940,0.0560,0.1600,0.0900,-0.0765,0.1162,0.1364,0.0895,0.5670,0.0874
2,0.1027,0.0754,0.0729,0.0689,0.0792,0.0752,0.0744,0.5396,0.0919,0.6413,0.1101,0.1428,0.1080,0.1217,0.0898,0.2230,0.1053,0.6014,0.1299,0.1764,0.0784
